algorithm,difficulty,n,mean,std,median,max,q25,q75,min,iqr,top5_mean,rank_by_max,rank_by_median,rank_by_topk
td3,0,50,0.9932,0.009570362413968143,1.0,1.0,0.99,1.0,0.95,0.010000000000000009,1.0,1,1,1
thompson,0,50,0.9922,0.013745500191342751,1.0,1.0,0.99,1.0,0.93,0.010000000000000009,1.0,1,1,1
sac,0,46,0.9002173913043477,0.24389878711770566,0.995,1.0,0.9624999999999999,1.0,0.1,0.03750000000000009,1.0,1,3,1
ddpg,0,47,0.9772340425531915,0.044804023871094785,0.99,1.0,0.98,1.0,0.77,0.020000000000000018,1.0,1,4,1
ucb,0,50,0.9898,0.013626205245326196,0.99,1.0,0.99,1.0,0.94,0.010000000000000009,1.0,1,4,1
ucb,1,50,0.7606,0.1226644668539811,0.77,0.94,0.74,0.8175,0.03,0.07750000000000001,0.8940000000000001,1,1,1
thompson,1,50,0.7302,0.048127806040642616,0.73,0.84,0.6924999999999999,0.7575000000000001,0.61,0.06500000000000017,0.8220000000000001,2,2,2
sac,1,49,0.6240816326530612,0.1987452134365645,0.7,0.81,0.63,0.72,0.08,0.08999999999999997,0.78,4,3,3
td3,1,50,0.6698000000000001,0.05092972348927367,0.67,0.84,0.65,0.69,0.53,0.039999999999999925,0.76,2,4,4
ddpg,1,49,0.6518367346938776,0.05761486604267726,0.65,0.78,0.62,0.69,0.5,0.06999999999999995,0.748,5,5,5
ucb,3,50,0.3822,0.05632594646251369,0.37,0.5,0.36,0.41,0.25,0.04999999999999999,0.48599999999999993,1,1,1
sac,3,50,0.344,0.07623808036643619,0.36,0.46,0.3025,0.39,0.06,0.08750000000000002,0.44400000000000006,2,2,2
thompson,3,50,0.353,0.053842172985836434,0.355,0.46,0.32,0.395,0.23,0.07500000000000001,0.442,2,3,3
td3,3,50,0.3396,0.051228181019944904,0.34,0.46,0.3,0.37,0.23,0.07,0.43,2,4,4
ddpg,3,45,0.32466666666666666,0.046690470119715,0.32,0.43,0.3,0.35,0.25,0.04999999999999999,0.41200000000000003,5,5,5
ucb,5,50,0.3778,0.056902709666121674,0.38,0.52,0.34,0.41,0.27,0.06999999999999995,0.47400000000000003,1,1,1
thompson,5,50,0.3528,0.051031802809220685,0.36,0.44,0.32,0.39,0.22,0.07,0.43,3,2,2
sac,5,49,0.29408163265306125,0.0985080023683977,0.32,0.44,0.28,0.35,0.03,0.06999999999999995,0.42000000000000004,3,3,3
td3,5,50,0.3206,0.05426352930140923,0.31,0.45,0.28250000000000003,0.36,0.17,0.07749999999999996,0.40800000000000003,2,4,4
ddpg,5,50,0.3118,0.04889347020381585,0.31,0.44,0.28,0.3475,0.22,0.06749999999999995,0.404,3,4,5
