hole_x,hole_y,ball_x,ball_y,speed,angle_deg
3.675,-0.275,-0.160,-0.100,1.417,-1.31
3.675,-0.275,-0.080,-0.100,1.426,-1.76
3.675,-0.275,0.000,-0.100,1.421,-1.74
3.675,-0.275,0.080,-0.100,1.397,-2.05
3.675,-0.275,0.160,-0.100,1.363,-2.10
3.675,-0.275,-0.160,0.020,1.445,-2.95
3.675,-0.275,-0.080,0.020,1.412,-2.45
3.675,-0.275,0.000,0.020,1.403,-2.85
3.675,-0.275,0.080,0.020,1.358,-2.99
3.675,-0.275,0.160,0.020,1.379,-2.91
3.675,-0.275,-0.160,-0.060,1.417,-1.40
3.675,-0.275,-0.080,-0.060,1.429,-2.00
3.675,-0.275,0.000,-0.060,1.417,-1.37
3.675,-0.275,0.080,-0.060,1.432,-2.14
3.675,-0.275,0.160,-0.060,1.357,-2.40
3.850,0.000,-0.160,-0.100,1.461,2.41
3.850,0.000,-0.080,-0.100,1.442,2.98
3.850,0.000,0.000,-0.100,1.418,2.92
3.850,0.000,0.080,-0.100,1.393,2.82
3.850,0.000,0.160,-0.100,1.413,2.78
3.850,0.000,-0.160,0.020,1.458,1.35
3.850,0.000,-0.080,0.020,1.427,1.64
3.850,0.000,0.000,0.020,1.427,1.57
3.850,0.000,0.080,0.020,1.409,2.15
3.850,0.000,0.160,0.020,1.393,1.50
3.850,0.000,-0.160,-0.060,1.479,2.19
3.850,0.000,-0.080,-0.060,1.442,2.92
3.850,0.000,0.000,-0.060,1.407,2.73
3.850,0.000,0.080,-0.060,1.397,2.98
3.850,0.000,0.160,-0.060,1.414,2.78
3.850,0.330,-0.160,-0.100,1.512,6.99
3.850,0.330,-0.080,-0.100,1.439,7.56
3.850,0.330,0.000,-0.100,1.417,7.70
3.850,0.330,0.080,-0.100,1.577,7.75
3.850,0.330,0.160,-0.100,1.679,7.64
3.850,0.330,-0.160,0.020,1.542,5.91
3.850,0.330,-0.080,0.020,1.509,6.17
3.850,0.330,0.000,0.020,1.487,6.00
3.850,0.330,0.080,0.020,1.408,6.03
3.850,0.330,0.160,0.020,1.686,6.36
3.850,0.330,-0.160,-0.060,1.501,7.00
3.850,0.330,-0.080,-0.060,1.438,7.42
3.850,0.330,0.000,-0.060,1.469,7.45
3.850,0.330,0.080,-0.060,1.550,7.52
3.850,0.330,0.160,-0.060,1.693,7.64
