t,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
1.489758491516113281e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.344274520874023438e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.159189224243164062e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.980135917663574219e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.807829856872558594e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.642628669738769531e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.460165977478027344e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.305049896240234375e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.147430419921875000e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.942699432373046875e-02,-1.000000822680490037e-01,-5.000002094581326162e-01,3.000001472795442714e-01,-4.422814919258157490e-09,2.221441698759650141e+00,2.221440329442017081e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.461602036152974904e+00,-2.043482128773824513e+00,-2.118884865437642873e+00,1.020774960517883301e+00,-1.679991070424215138e+00,-3.141593043004171193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
