difficulty,algo_A,algo_B,P(A > B),n_A,n_B
0,ddpg,sac,0.3621646623496762,47,46
0,ddpg,td3,0.23617021276595745,47,50
0,ddpg,thompson,0.2225531914893617,47,50
0,ddpg,ucb,0.3046808510638298,47,50
0,sac,ddpg,0.3811285846438483,46,47
0,sac,td3,0.26608695652173914,46,50
0,sac,thompson,0.23043478260869565,46,50
0,sac,ucb,0.32956521739130434,46,50
0,td3,ddpg,0.4570212765957447,50,47
0,td3,sac,0.401304347826087,50,46
0,td3,thompson,0.2732,50,50
0,td3,ucb,0.3804,50,50
0,thompson,ddpg,0.4582978723404255,50,47
0,thompson,sac,0.4160869565217391,50,46
0,thompson,td3,0.326,50,50
0,thompson,ucb,0.4044,50,50
0,ucb,ddpg,0.4178723404255319,50,47
0,ucb,sac,0.37782608695652176,50,46
0,ucb,td3,0.258,50,50
0,ucb,thompson,0.2452,50,50
1,ddpg,sac,0.34902124114952104,49,49
1,ddpg,td3,0.3816326530612245,49,50
1,ddpg,thompson,0.12775510204081633,49,50
1,ddpg,ucb,0.07673469387755102,49,50
1,sac,ddpg,0.6118284048313203,49,49
1,sac,td3,0.5657142857142857,49,50
1,sac,thompson,0.2595918367346939,49,50
1,sac,ucb,0.1416326530612245,49,50
1,td3,ddpg,0.5706122448979591,50,49
1,td3,sac,0.39510204081632655,50,49
1,td3,thompson,0.154,50,50
1,td3,ucb,0.09,50,50
1,thompson,ddpg,0.8412244897959184,50,49
1,thompson,sac,0.6979591836734694,50,49
1,thompson,td3,0.8012,50,50
1,thompson,ucb,0.2692,50,50
1,ucb,ddpg,0.9081632653061225,50,49
1,ucb,sac,0.8306122448979592,50,49
1,ucb,td3,0.8888,50,50
1,ucb,thompson,0.682,50,50
3,ddpg,sac,0.34355555555555556,45,50
3,ddpg,td3,0.38355555555555554,45,50
3,ddpg,thompson,0.30577777777777776,45,50
3,ddpg,ucb,0.19155555555555556,45,50
3,sac,ddpg,0.6115555555555555,50,45
3,sac,td3,0.5332,50,50
3,sac,thompson,0.476,50,50
3,sac,ucb,0.3544,50,50
3,td3,ddpg,0.5577777777777778,50,45
3,td3,sac,0.412,50,50
3,td3,thompson,0.3956,50,50
3,td3,ucb,0.2636,50,50
3,thompson,ddpg,0.644,50,45
3,thompson,sac,0.4804,50,50
3,thompson,td3,0.5572,50,50
3,thompson,ucb,0.3336,50,50
3,ucb,ddpg,0.7648888888888888,50,45
3,ucb,sac,0.6036,50,50
3,ucb,td3,0.6952,50,50
3,ucb,thompson,0.6088,50,50
5,ddpg,sac,0.4542857142857143,50,49
5,ddpg,td3,0.4184,50,50
5,ddpg,thompson,0.2496,50,50
5,ddpg,ucb,0.1732,50,50
5,sac,ddpg,0.4963265306122449,49,50
5,sac,td3,0.446530612244898,49,50
5,sac,thompson,0.2804081632653061,49,50
5,sac,ucb,0.20326530612244897,49,50
5,td3,ddpg,0.528,50,50
5,td3,sac,0.5085714285714286,50,49
5,td3,thompson,0.3104,50,50
5,td3,ucb,0.2152,50,50
5,thompson,ddpg,0.708,50,50
5,thompson,sac,0.6714285714285714,50,49
5,thompson,td3,0.6464,50,50
5,thompson,ucb,0.348,50,50
5,ucb,ddpg,0.7936,50,50
5,ucb,sac,0.76,50,49
5,ucb,td3,0.7468,50,50
5,ucb,thompson,0.598,50,50
