name,id,final_success_rate,n_train_points
brisk-sweep-3,y1gw6m4a,0.95,4
brisk-sweep-6,e96ola2s,0.9,4
desert-sweep-8,ljespcxw,0.82,4
faithful-sweep-14,zrfes8ya,0.82,4
glad-sweep-19,lx860m6z,0.91,4
zesty-sweep-21,asf466l7,0.82,4
deft-sweep-24,7tviywmt,0.92,4
cosmic-sweep-25,qtzorhus,0.96,4
jumping-sweep-26,rcj1n38h,0.88,4
pleasant-sweep-27,7a2vlcj5,0.89,4
jolly-sweep-28,icdw5k7a,0.82,4
sleek-sweep-29,vhkrufp5,0.9,4
jumping-sweep-30,knoh8m5k,0.96,4
blooming-sweep-37,wsevlwvd,0.93,4
solar-sweep-43,uc5nv4mj,0.86,4
blooming-sweep-52,drdqpms1,0.92,4
elated-sweep-53,ollo57w3,0.9,4
eager-sweep-54,afrxu4yn,0.91,4
resilient-sweep-55,u7zvsxqv,0.96,4
pleasant-sweep-56,vh7y6j4l,0.94,4
warm-sweep-57,acrz2nc3,0.96,4
woven-sweep-58,biejudx7,0.83,4
cool-sweep-59,n9r7hflb,0.87,4
eager-sweep-62,ve2nv7le,0.82,4
vocal-sweep-63,yhfyn3me,0.86,4
legendary-sweep-66,zhs8szbl,0.87,4
helpful-sweep-67,48lb81t8,0.85,4
happy-sweep-73,ezzvjj55,0.88,4
prime-sweep-74,xuxawkck,0.95,4
toasty-sweep-82,02fd7i7u,0.86,4
likely-sweep-84,ikilwq5l,0.84,4
dry-sweep-90,2x6s3m0o,0.83,4
daily-sweep-92,zksm6caw,0.84,4
fallen-sweep-98,x4z1r0ls,0.87,4
true-sweep-100,cs0x8tqm,0.87,4
honest-sweep-102,hv4iv5wv,0.92,4
dark-sweep-105,q0ww72pw,0.88,4
proud-sweep-107,otrum5q5,0.87,4
morning-sweep-110,xupe5wir,0.97,4
stellar-sweep-112,mmg355om,0.91,4
wobbly-sweep-115,selr2c3a,0.89,4
absurd-sweep-118,p0ejpeno,0.9,4
glorious-sweep-119,3h8yziwj,0.89,4
fluent-sweep-120,8usoephe,0.94,4
trim-sweep-121,6xvnp1hp,0.87,4
dutiful-sweep-122,xazl28kd,0.88,4
logical-sweep-123,9t9nxuui,0.85,4
super-sweep-124,ysmvgf1j,0.84,4
zany-sweep-126,0ncqb9zn,0.84,4
laced-sweep-137,x97paicr,0.92,4
deft-sweep-138,lpjeay72,0.99,4
celestial-sweep-139,8z5ickuf,0.83,4
sleek-sweep-141,in33qsep,0.83,4
daily-sweep-144,pzjhrr07,0.82,4
fluent-sweep-145,jtfqvbuu,0.91,4
quiet-sweep-146,r3raig2b,0.9,4
gentle-sweep-147,vmuck29z,0.93,4
toasty-sweep-154,oyty5u0h,0.85,4
brisk-sweep-155,ahoqnvm4,0.96,4
upbeat-sweep-156,z4o0260i,0.84,4
quiet-sweep-158,k2qdlcfr,0.82,4
dandy-sweep-160,cjcs9d69,0.88,4
deep-sweep-169,uvquq8a3,0.84,4
neat-sweep-170,qz2iw749,0.82,4
avid-sweep-172,d3eut8j0,0.93,4
ruby-sweep-176,6h5bzu52,0.89,4
magic-sweep-179,her7rata,0.82,4
wise-sweep-183,7wshi6yu,0.96,4
whole-sweep-184,9pmezojc,0.85,4
leafy-sweep-186,4dsiefnn,0.87,4
playful-sweep-190,d94hwqde,0.92,4
leafy-sweep-191,2rvsdccj,0.89,4
fanciful-sweep-194,osl17g9p,0.95,4
fragrant-sweep-196,2e9899mq,0.86,4
dainty-sweep-197,d78xsbne,0.93,4
hopeful-sweep-198,bqw17pr9,0.95,4
