feature,importance_mean,importance_std
param.mixed_replay_ratio,0.08014241674394541,0.004814242893994537
param.critic_lr,0.02629538148689477,0.0016562725437284408
param.replay_recent_size,0.01843892973965759,0.0014619806293961403
param.ucb_beta,0.01667017931655909,0.0012466849565268834
param.bootstrap_p,0.01437488572519014,0.0008758178184896035
param.ucb_beta_final,0.012693542519928292,0.0010714081108989762
param.cem_elite_frac,0.010136669098887496,0.00045498088932030247
param.cem_init_std,0.0089509791441716,0.0004675590478027905
param.cem_pop,0.0028639826983649307,0.00026904841877482697
param.cem_iters,0.0022723606264784812,0.00025830993499900023
